bytes,content-type,elapsed,endpoint,resource,status,entry-date,start-date,end-date
507893,application/json,1.171,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-06-23T15:00:11.388015,,
507893,application/json,0.393,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-06-24T00:16:22.741299,,
507893,application/json,0.408,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-06-25T00:22:19.568147,,
507893,application/json,0.449,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-06-26T00:19:03.490926,,
507893,application/json,0.586,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-06-27T00:23:47.387737,,
507893,application/json,1.111,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-06-28T00:22:35.506339,,
507893,application/json,0.483,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-06-29T00:21:31.372426,,
507893,application/json,0.538,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-06-30T00:19:55.527550,,
507893,application/json,1.099,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-01T00:21:59.074580,,
507893,application/json,0.667,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-02T00:20:25.756018,,
507893,application/json,1.152,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-03T00:20:48.258839,,
507893,application/json,0.462,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-04T00:20:30.042740,,
507893,application/json,0.446,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-05T00:19:38.949300,,
507893,application/json,1.114,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-06T00:21:58.668354,,
507893,application/json,0.466,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-07T00:20:43.951271,,
507893,application/json,1.104,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-08T00:20:13.716457,,
507893,application/json,3.279,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-09T00:20:27.510579,,
507893,application/json,1.028,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-10T00:21:08.472654,,
507893,application/json,0.425,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-11T00:21:08.528781,,
507893,application/json,0.48,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-12T00:21:23.657589,,
507893,application/json,1.554,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-13T00:20:09.881478,,
507893,application/json,1.126,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-14T00:19:34.648069,,
507893,application/json,0.444,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-15T00:19:32.555576,,
507893,application/json,1.219,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-16T00:20:28.977280,,
507893,application/json,0.44,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-17T00:19:46.465977,,
507893,application/json,0.482,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-18T00:20:45.436141,,
507893,application/json,0.495,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-19T00:20:09.046935,,
112,application/json; charset=utf-8,0.275,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,,500,2021-07-20T00:18:55.792463,,
507893,application/json,1.506,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-21T00:20:15.411162,,
507893,application/json,0.47,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-22T00:19:43.458664,,
507893,application/json,1.361,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,cafadb8e0a05a2c0497d175d0abf5d05b2bb88b6040a2a68f73ae6fb9313234b,200,2021-07-23T00:21:29.907993,,
